Cancer type,Gene symbol,Uniprot ID,Differential expression status_up,Differential expression status_down,The number of tumor types_pccup,oncogene_x,COSMIC_CGC_x,Number of tumor types (PCDGs),oncogene_y,COSMIC_CGC_y,The number of tumor types_pccdp,Number of tumor types (PCCDPs),Risk coefficient
COAD,A1BG,P04217,,Down,,,,,,,,,
PAAD,A1CF,Q9NQ94,,Down,,,,,,,,,
BRCA,A2M,P01023,,Down,,,,,,,,,
COAD,A2M,P01023,,Down,,,,,,,,,
ESCC,A2M,P01023,,Down,,,,,,,,,
HNSC,A2M,P01023,,Down,,,,,,,,,
LIHC,A2M,P01023,,Down,,,,,,,,,
LUAD,A2M,P01023,,Down,,,,,,,,,
LUSC,A2M,P01023,,Down,,,,,,,,,
HNSC,A2ML1,A8K2U0,,Down,,,,,,,,,
LUSC,A2ML1,A8K2U0,Up,,,,,,,,,,
PAAD,A2ML1,A8K2U0,Up,,,,,,,,,,
LUSC,A4GALT,Q9NPC4,Up,,,,,,,,,,
LUSC,AAAS,Q9NRG9,Up,,,,,,,,,,
GBM,AACS,Q86V21,,Down,,,,,,,,,
LIHC,AACS,Q86V21,Up,,,,,,,,,,
LUAD,AACS,Q86V21,Up,,,,,,,,,,
LUSC,AACS,Q86V21,Up,,,,,,,,,,
UCEC,AACS,Q86V21,Up,,,,,,,,,,
HNSC,AADAC,P22760,,Down,,,,,,,,,
LIHC,AADAC,P22760,,Down,,,,,,,,,
LUAD,AADAC,P22760,,Down,,,,,,,,,
PAAD,AADAC,P22760,,Down,,,,,,,,,
STAD,AADAC,P22760,,Down,,,,,,,,,
KIRC,AADAT,Q8N5Z0,,Down,,,,,,,,,
LIHC,AADAT,Q8N5Z0,,Down,,,,,,,,,
BRCA,AAGAB,Q6PD74,Up,,,,,,,,,,
LUSC,AAGAB,Q6PD74,Up,,,,,,,,,,
PAAD,AAGAB,Q6PD74,Up,,,,,,,,,,
UCEC,AAGAB,Q6PD74,Up,,,,,,,,,,
GBM,AAK1,Q2M2I8,,Down,,,,,,,,,
KIRC,AAK1,Q2M2I8,,Down,,,,,,,,,
LIHC,AAK1,Q2M2I8,Up,,,,,,,,,,
GBM,AAMDC,Q9H7C9,Up,,,,,,,,,,
LUSC,AAMDC,Q9H7C9,,Down,,,,,,,,,
LUSC,AAMP,Q13685,Up,,,,,,,,,,
GBM,AAR2,Q9Y312,Up,,,,,,,,,,
,AARS1,P49588,,,,,,,,,2.0,,
LIHC,AARS2,Q5JTZ9,Up,,,,,,,,,,
LUAD,AARSD1,Q9BTE6,Up,,,,,,,,,,
LUSC,AARSD1,Q9BTE6,Up,,,,,,,,,,
BRCA,AASS,Q9UDR5,,Down,,,,,,,,,
GBM,AASS,Q9UDR5,Up,,,,,,,,,,
